Département - commune;Département;Population sans doubles comptes 1999;Département - commune;Département;Population sans doubles comptes 1999
80259;Dromesnil;121;;;
80260;Drucat;861;;;
80261;Dury;1 141;;;
80262;Eaucourt-sur-Somme;376;;;
80263;L'Échelle-Saint-Aurin;50;;;
80264;Éclusier-Vaux;69;;;
80265;Embreville;576;;;
80266;Englebelmer;242;;;
80267;Ennemain;248;;;
80268;Épagne-Épagnette;552;;;
80269;Épaumesnil;107;;;
80270;Épécamps;11;;;
80271;Épehy;1 088;;;
80272;Épénancourt;128;;;
80273;Éplessier;339;;;
80274;Eppeville;2 015;;;
80275;Équancourt;280;;;
80276;Équennes-Éramecourt;247;;;
80278;Erches;125;;;
80279;Ercheu;704;;;
80280;Ercourt;124;;;
80281;Ergnies;152;;;
80282;Érondelle;434;;;
80283;Esclainvillers;130;;;
80284;Esmery-Hallon;764;;;
80285;Essertaux;199;;;
80287;Estréboeuf;229;;;
80288;Estrées-Deniécourt;245;;;
80290;Estrées-lès-Crécy;362;;;
80291;Estrées-sur-Noye;255;;;
80292;Étalon;112;;;
80293;Ételfay;391;;;
80294;Éterpigny;184;;;
80295;Étinehem;279;;;
80296;L'Étoile;1 305;;;
80297;Étréjust;39;;;
80298;Étricourt-Manancourt;400;;;
80299;La Faloise;210;;;
80300;Falvy;100;;;
80301;Famechon;173;;;
80302;Faverolles;139;;;
80303;Favières;405;;;
80304;Fay;71;;;
80305;Ferrières;426;;;
80306;Fescamps;140;;;
80307;Feuillères;151;;;
80308;Feuquières-en-Vimeu;2 370;;;
80310;Fienvillers;548;;;
80311;Fignières;124;;;
80312;Fins;257;;;
80313;Flaucourt;324;;;
80314;Flers;138;;;
80315;Flers-sur-Noye;342;;;
80316;Flesselles;2 143;;;
80317;Fleury;200;;;
80318;Flixecourt;2 978;;;
80319;Fluy;332;;;
80320;Folies;86;;;
80321;Folleville;72;;;
80322;Fonches-Fonchette;134;;;
80324;Fontaine-le-Sec;151;;;
80325;Fontaine-lès-Cappy;53;;;
80326;Fontaine-sous-Montdidier;119;;;
80327;Fontaine-sur-Maye;129;;;
80328;Fontaine-sur-Somme;469;;;
80329;Forceville;161;;;
80330;Forceville-en-Vimeu;262;;;
80331;Forest-l'Abbaye;306;;;
80332;Forest-Montiers;374;;;
80333;Fort-Mahon-Plage;1 140;;;
